"","UBERON.artery.wall","UBERON.feces","UBERON.mouth","GroupContrib","Sort","Importance","Rank1","Phylum","Class","Order","Family","Genus","Species"
"529644",-0.0857017849479445,-0.251688554182052,-0.106930018335678,"UBERON:artery wall",1,0.481669691817222,"Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84","NA","NA","NA"
"575143",0.741392188128986,-0.437268070634954,-0.337289985712502,"UBERON:artery wall",2,0.463368823676479,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Hydrogenophilus","NA"
"769643",-0.136482328913317,-0.366571262020995,-0.192505834537833,"UBERON:artery wall",3,0.302641574380989,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","NA","NA"
"656307",-0.0936131618371719,-0.235996669800055,-0.0636263494538556,"UBERON:mouth",4,0.251545882904613,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Petrobacter","succinatimandens"
"735795",-0.17810462057446,-0.364896625956005,-0.223585916970451,"UBERON:artery wall",5,0.205765523539926,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","NA","NA"
"899348",-0.0945668834754203,-0.275368370033314,-0.117689787615369,"UBERON:artery wall",6,0.187438035475293,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","NA","NA"
"183865",-0.270353015518302,-0.377210042858259,-0.28401908014477,"UBERON:artery wall",7,0.187205872388914,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"907241",-0.224920182509491,-0.367230950287986,-0.268945187605829,"UBERON:artery wall",8,0.163804400384488,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","NA"
"180752",-0.106291064558882,-0.247326066912045,-0.0765882554656589,"UBERON:mouth",9,0.147581928208485,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Serinicoccus","NA"
"4348382",-0.138003289618468,-0.273970189402801,-0.155392248358652,"UBERON:artery wall",10,0.147114709513531,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","NA","NA"
"339616",-0.0778395251922522,-0.404668833131546,-0.225609671402097,"UBERON:artery wall",11,0.136587237027543,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia","NA"
"1105919",0.453871169625176,-0.405627153456633,-0.305369324962396,"UBERON:artery wall",12,0.134076234819028,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia","NA"
"1074248",-0.0827355775704071,-0.210785109260978,-0.0557675857185863,"UBERON:mouth",13,0.12618143547146,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","adhaesivum"
"910974",-0.142697519358938,-0.327373895232943,-0.187663688929773,"UBERON:artery wall",14,0.120640505612895,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","NA"
"792863",-0.244851850197625,-0.410561447472444,-0.298301656557989,"UBERON:artery wall",15,0.116819030717802,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"1138056",-0.177014053527945,-0.293104080188348,-0.205280385913934,"UBERON:artery wall",16,0.102353096067062,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","marcusii"
"1124131",-0.0378765976708465,-0.200352334318016,-0.00365824260018858,"UBERON:mouth",17,0.100072110484707,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes","NA"
"605399",-0.0378765976708465,-0.200352334318016,-0.00365824260018858,"UBERON:mouth",18,0.100072110484707,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","NA","NA"
"4408313",-0.0393170880649057,-0.199837429931881,-0.00551055074791813,"UBERON:mouth",19,0.0985080076066176,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus","luteus"
"745556",-0.0720401619007099,-0.226037750812634,-0.0381940824994544,"UBERON:mouth",20,0.0969692359374981,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Finegoldia","NA"
"136627",-0.0419395434175937,-0.198894585818324,-0.00888387934227749,"UBERON:mouth",21,0.0956507519110927,"Bacteria","[Thermi]","Deinococci","Thermales","Thermaceae","Thermus","NA"
"513631",-0.206232182247186,-0.317447809787748,-0.23331166517102,"UBERON:artery wall",22,0.0930287400673405,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"332185",-0.26958996823243,-0.370165010638484,-0.246361285064407,"UBERON:mouth",23,0.0872957446058211,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"4384044",-0.541318003162784,-0.623964686643209,0.874882618887184,"UBERON:mouth",24,0.0696815763592482,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA"
"848267",-0.0655158565586605,-0.190100644051695,-0.0392775604117301,"UBERON:mouth",25,0.0693942667805922,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","NA"
"1089908",-0.38865206062678,-0.617628902094924,-0.335636443517494,"UBERON:mouth",26,0.069309469736094,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","acnes"
"1000986",-0.257181309148285,-0.432136965726866,-0.311205841933599,"UBERON:artery wall",27,0.0684267333189648,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","NA"
"266540",-0.128727323327923,-0.278265151548647,-0.0972337686092662,"UBERON:mouth",28,0.061756968964718,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","flexus"
"3385021",-0.158458008837413,-0.418025433593421,-0.242181757001849,"UBERON:artery wall",29,0.0590254719356427,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","epidermidis"
"4419276",-0.123144152726835,-0.298090478740195,-0.1455182338423,"UBERON:artery wall",30,0.0562839489790674,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"4480555",-0.0353129597660184,-0.195241199358289,-0.00163112270454017,"UBERON:mouth",31,0.0523207395978338,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"3829957",-0.140858746763225,-0.421282548037469,-0.270036559190646,"UBERON:artery wall",32,0.0503190780282063,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","NA","NA"
"95623",-0.116534444659359,-0.287241266709993,-0.158099219097343,"UBERON:artery wall",33,0.0498575124374314,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","stutzeri"
"376862",-0.0568491874892643,-0.237193227037914,-0.0799135882200584,"UBERON:artery wall",34,0.0498060833682056,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus Arthromitus","NA"
"179408",-0.340977082565878,-0.407966937628276,-0.312693026373018,"UBERON:mouth",35,0.0455401325520547,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","NA"
"162539",-0.172302040699668,-0.286177744731792,-0.14831914113015,"UBERON:mouth",36,0.0438980610141381,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","NA","NA"
"229808",-0.0441536358715794,-0.192470429526167,-0.0129172382841948,"UBERON:mouth",37,0.0431815004677291,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"192711",-0.236717011842496,-0.330849211389799,-0.211693561596029,"UBERON:mouth",38,0.0429596716577602,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"395249",-0.0678482442118902,-0.448280423440778,-0.239853989663655,"UBERON:artery wall",39,0.0401181277882443,"Bacteria","Cyanobacteria","Chloroplast","Streptophyta","NA","NA","NA"
"4431443",-0.582241452529431,-0.63832230966796,0.88126188106032,"UBERON:mouth",40,0.0390184773030876,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","dentocariosa"
"4342225",-0.451026986657052,-0.524402374475661,0.830899729888243,"UBERON:mouth",41,0.033887114561743,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","NA"
"2106827",-0.094057080081496,-0.222208106702464,-0.0662746640286487,"UBERON:mouth",42,0.0335850463165928,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","NA","NA"
"193314",-0.0394524733071859,-0.247120428415033,-0.0660113601300567,"UBERON:artery wall",43,0.0293459935077825,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","NA"
"532740",-0.0579452082349242,-0.188004708557248,-0.0305539050521842,"UBERON:mouth",44,0.0286942866270878,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA"
"210383",-0.158106968540626,-0.339223471239638,-0.181270160446855,"UBERON:artery wall",45,0.0274386407736714,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","NA","NA"
"4341023",-0.0908945055022003,-0.276051254925111,-0.114574409076442,"UBERON:artery wall",46,0.0262680808831454,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NA","NA"
"194104",-0.142531839185745,-0.269404956341242,-0.114673100310629,"UBERON:mouth",47,0.025809807620609,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","NA"
"4376318",-0.039083512205875,-0.305612426674574,-0.103979654480764,"UBERON:artery wall",48,0.0238343516870709,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","NA","NA"
"3855116",-0.237634345769242,-0.339326361798407,-0.177550383100437,"UBERON:mouth",49,0.0236175566222539,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA"
"170462",-0.0994133942963157,-0.219138987029606,-0.0741984734242267,"UBERON:mouth",50,0.0202209995765568,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","NA"
"592616",-0.226726319647419,-0.327188490668627,-0.202461342366516,"UBERON:mouth",51,0.0191408385778241,"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","NA","NA"
"338142",-0.126713964923311,-0.267935316914847,-0.144774921427496,"UBERON:artery wall",52,0.0174705029456913,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia","NA"
"184845",-0.0522679127847772,-0.287586489590592,-0.0823630685128673,"UBERON:artery wall",53,0.0164580126692646,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","NA"
"1108390",-0.0844221964678288,-0.227286554682293,-0.119207712085067,"UBERON:artery wall",54,0.0134465376089571,"Bacteria","Acidobacteria","[Chloracidobacteria]","RB41","NA","NA","NA"
