"","UBERON.artery.wall","UBERON.feces","UBERON.mouth","GroupContrib","Sort","Importance","Rank1","Phylum","Class","Order","Family","Genus","Species"
"1584173",-0.179907428934718,-0.293517228580754,-0.153668254904785,"UBERON:mouth",1,0.364551746694859,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","NA","NA"
"354517",-0.16697741441277,-0.291033783257311,-0.138325514120936,"UBERON:mouth",2,0.279849235007159,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"367542",-0.242250125463491,-0.363675751912507,-0.208231538601546,"UBERON:mouth",3,0.241763736439507,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","NA"
"182089",-0.134865757376387,-0.279003018564294,-0.103617616299185,"UBERON:mouth",4,0.213390828600164,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"196296",-0.146318805675018,-0.235212253274644,-0.126050903506692,"UBERON:mouth",5,0.210421844950547,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"307238",-0.307647095394448,-0.407511990426799,-0.278861612500166,"UBERON:mouth",6,0.204650362135112,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","NA"
"215963",-0.112076166248568,-0.247846721086374,-0.0811201802102503,"UBERON:mouth",7,0.204577336658917,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","NA"
"193755",-0.0793685734569949,-0.222800090598711,-0.0462418136934494,"UBERON:mouth",8,0.182267984827262,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","NA"
"358410",-0.351750750138547,-0.369357804760242,-0.335876101361593,"UBERON:mouth",9,0.173355842925889,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"189828",-0.151109898208955,-0.27575271658259,-0.121004485143319,"UBERON:mouth",10,0.162275449735585,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"4481613",-0.282064398809265,-0.315052128741148,-0.252322421069705,"UBERON:mouth",11,0.149944846519635,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens"
"4153054",-0.26367574892124,-0.360774314858761,-0.236472627997645,"UBERON:mouth",12,0.147741492123534,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
